Unnamed: 0,store_id_in_org,store_no,store_name,store_address,store_type,short_code_prefix,open_status,x_axis,y_axis,city_id,dist_id,baidu_lat,baidu_lng,precise,confidence,comprehension
91,,,上海洪德路店,上海市-嘉定区-洪德路1153号,Community,,1,,,310100,310114,31.35605733300655,121.2496495661513,1,80,100
92,2333.0,5599.0,上海棋盘路店,上海市-嘉定区-棋盘路1387-1393号,Community,,2,,,310100,310114,31.406071471827445,121.25751690200258,1,80,99
93,2298.0,5638.0,上海九拍认证店,上海市-宝山区-祁连山路3655号,Certification,,2,,,310100,310113,31.33617152162384,121.38920905614698,1,80,100
94,,,上海金通路店,上海市-嘉定区-金通路1320、1322号,Community,,1,,,310100,310114,31.296211239229248,121.33549832176918,0,75,96
95,650.0,2354.0,上海虹桥万科店,上海市闵行区申长路988弄虹桥万科中心地下停车场LG2层（苏虹路入，LG1层开到底下LG2）,Community,C,2,,,310100,310112,31.202965218065984,121.3216282561392,1,80,93
96,652.0,2356.0,上海鸿音路店,上海市浦东新区泥城镇鸿音路2972-2976号,Community,C,2,,,310100,310115,30.90640972777798,121.8228229287125,1,80,99
97,666.0,2370.0,上海秀州街店,上海市金山区朱泾镇秀州街842,Community,C,2,,,310100,310116,30.9086155083476,121.16835975899303,1,80,99
98,667.0,2371.0,上海东方一百杉杉店,上海市浦东新区东方路985号地下一层车位101-106室,Community,C,2,,,310100,310115,31.227962094954428,121.53545694719013,1,80,94
99,668.0,2372.0,上海宝绿路店,上海市宝山区宝绿路86号,Community,C,2,,,310100,310113,31.362021817982487,121.39235196032965,1,80,100
100,671.0,2375.0,上海陈桥路店,上海市奉贤区陈桥路295号,Community,C,2,,,310100,310120,30.933727438245423,121.4652345226268,1,80,100
101,708.0,2412.0,上海航鹤路店,上海市浦东新区航鹤路1858弄27号,Community,C,2,,,310100,310115,31.056250744278287,121.591380745612,1,80,100
102,709.0,2413.0,上海腾冲路店,上海市闵行区腾冲路69号,Community,C,3,,,310100,310112,31.105516969369827,121.40137042124282,1,80,100
103,741.0,2443.0,上海罗秀路店,上海市徐汇区罗秀路107号,Comprehensive,,2,,,310100,310104,31.140588770391847,121.45509179194416,1,80,100
104,735.0,2437.0,上海青竹路店,上海市青浦区夏阳街道青竹路17-19号,Community,C,2,,,310100,310118,31.16157357216615,121.1419063397589,1,80,99
105,744.0,2446.0,上海新源路店,上海市嘉定区新源路1227号,Community,C,2,,,310100,310114,31.312745250433885,121.1574455841995,1,80,100
106,748.0,2450.0,上海鹤祥路店,上海市青浦区白鹤镇鹤祥路342号,Community,C,2,,,310100,310118,31.2653981166014,121.14690460953173,1,80,100
107,749.0,2451.0,上海环庆中路店,上海市浦东新区环庆中路399号,Community,C,2,,,310100,310115,31.24002492700996,121.73276268908056,1,80,100
108,750.0,2452.0,上海龙胜路店,上海市金山区龙胜路550号,Community,C,2,,,310100,310116,30.73062309775611,121.34449949440649,1,80,100
109,765.0,2467.0,上海明兴路店,上海市松江区新桥镇明兴路58号1、2层,Community,C,2,,,310100,310117,31.083917129188336,121.35078903253631,1,80,96
110,781.0,2483.0,上海平度路店,上海市浦东新区平度路84号,Community,C,2,,,310100,310115,31.264781948887318,121.59638592784572,1,80,100
111,824.0,2525.0,上海周东路店,上海市浦东新区周东路778号,Community,C,2,,,310100,310115,31.131503446738225,121.58949681031342,1,80,100
112,831.0,2532.0,上海浦连路店,上海市闵行区浦连路284-288号,Community,C,2,,,310100,310112,31.06150959713694,121.5465757937077,1,80,99
113,905.0,2606.0,上海九杜路店,上海市松江区沪松公路1510号一层107室,Community,C,2,,,310100,310117,31.142890713022116,121.32105376281642,1,80,99
114,907.0,2608.0,上海环城路店,上海市松江区环城路982号-984号,Community,C,2,,,310100,310117,31.018979065497298,121.2513237147743,1,80,99
115,908.0,2609.0,上海迎园路店,上海市嘉定区迎园路363-365号,Community,C,4,,,310100,310114,31.391832567650876,121.27751301062919,1,80,99
116,930.0,2631.0,上海中山中路店,上海市松江区中山中路196弄58号（松江商城背后）,Community,C,2,,,310100,310117,31.014253504872677,121.24050767446785,1,80,97
117,931.0,2632.0,上海南姚路店,上海市松江区车墩镇南姚路100号3幢106-109室,Community,C,3,,,310100,310117,31.025116823849526,121.31624682223587,1,80,99
118,995.0,2696.0,上海沪南公路店,上海市浦东新区航头镇沪南公路5489号,Community,C,2,,,310100,310115,31.03800346398374,121.60463412412307,1,80,100
119,1040.0,2741.0,上海运城路店,上海市静安区运城路267号,Community,C,2,,,310100,310106,31.27695465989064,121.44591982768715,1,80,100
120,1075.0,2776.0,上海华阳路店,上海市长宁区华阳路112号现代职校内,Comprehensive,,2,,,310100,310105,31.229895325634114,121.42824635488036,1,80,97
121,1085.0,2786.0,上海南祝路店,上海市浦东新区祝桥镇南祝路119号1层、123号1层,Community,C,2,,,310100,310115,31.1322460305455,121.76155438048937,1,80,96
122,1105.0,2806.0,上海杨思路站店,上海市浦东新区杨思路2号,gasStation,C,2,,,310100,310115,31.162326634539355,121.49175683380881,1,80,100
123,1106.0,2807.0,上海杨南路店,上海市浦东新区杨南路447号A区、449号,Community,C,2,,,310100,310115,31.156011500861442,121.5026733415018,1,80,96
124,1109.0,2810.0,上海天通庵路店,上海市虹口区天通庵路647号,Community,C,2,,,310100,310109,31.26937339743571,121.48302843574483,1,80,100
125,1137.0,2839.0,上海清河路店,上海市嘉定区清河路420弄2号101、102室,Community,C,2,,,310100,310114,31.3833683032231,121.242177265987,1,80,96
126,1152.0,2854.0,上海石屏路店,上海市闵行区石屏路437、439号,Community,C,2,,,310100,310112,31.02449876244942,121.42555992307054,1,80,96
127,1165.0,2867.0,上海宝铭路店,上海市闵行区宝铭路128号一层A区,Community,C,2,,,310100,310112,31.144633452584436,121.37269261880314,1,80,99
128,1169.0,2871.0,上海三新北路站店,上海市松江区三新北路575号,gasStation,C,2,,,310100,310117,31.0364788849862,121.19886410758549,1,80,100
129,1181.0,2883.0,上海南桥路店,上海市浦东新区南桥路1216、1218、1220号 ,Community,C,2,,,310100,310115,31.19242690749682,121.69452607520077,1,80,96
130,1190.0,2892.0,上海航南路店,上海市闵行区航南路550-552号航南路与航新路交叉口,Community,C,3,,,310100,310112,31.172772093896732,121.35605181465468,1,80,99
131,1191.0,2893.0,上海文诚路店,上海市松江区文诚路500弄3号102室、116室、117室 ,Community,C,2,,,310100,310117,31.038781011005902,121.2206014606211,1,80,96
132,1209.0,2911.0,上海淞宝路店（加盟）,上海市宝山区淞宝路750号,Community,,4,,,310100,310113,31.397856798659102,121.50651940510208,1,80,100
133,1210.0,2912.0,上海罗山路店,上海市浦东新区罗山路1509号,Community,,2,,,310100,310115,31.234276212825588,121.57805035536957,1,80,100
134,1283.0,2985.0,上海江杨南路店,上海市静安区江杨南路412号、414号、416号1层,Community,C,2,,,310100,310106,31.32113708274997,121.47446516779293,1,80,97
135,1352.0,3054.0,上海民丰路店,上海市嘉定区安亭镇民丰路568号,Community,C,2,,,310100,310114,31.312092692372715,121.16892324986998,1,80,100
136,1420.0,3109.0,上海金园一路店,上海市嘉定区金园一路969号1幢5室,Community,C,2,,,310100,310114,31.25848149403857,121.322593992054,1,80,99
137,1449.0,3138.0,上海曹安公路店,上海市嘉定区曹安公路2883号B3幢101~103号（入口：黄家花园路567号旁）,Community,C,2,,,310100,310114,31.270645705179337,121.32606662735884,1,80,96
138,1450.0,3139.0,上海花家浜路店,上海市嘉定区金沙江路2784号底层,Community,C,2,,,310100,310114,31.24674948520276,121.36994663629989,1,80,97
139,1464.0,3153.0,上海钣喷技术中心店,上海市嘉定区和静路338号,Comprehensive,C,2,,,310100,310114,31.307584101705128,121.18564754432914,1,80,100
140,1506.0,3195.0,上海兰溪路店,上海市普陀区兰溪路436、442号底层-4,Community,C,2,,,310100,310107,31.25576053061964,121.40873505589852,1,80,94
141,1515.0,3204.0,上海纪蕰路店,上海市宝山区纪蕴路94号,Community,C,2,,,310100,310113,31.339631250329433,121.44587343200418,1,80,100
143,1589.0,101048.0,上海博华路店,上海市浦东新区博华路161-169号,Community,,2,,,310100,310115,31.191482165003425,121.55270971298421,1,80,99
144,1604.0,200908.0,上海车享家内部店,上海市杨浦区,Community,,2,,,310100,310110,31.265524144657057,121.53251993732523,0,18,100
145,1607.0,200916.0,上海菊太路店,上海市宝山区菊太路1447、1449、1451号,Community,,2,,,310100,310113,31.35188305187693,121.35910534462556,1,80,96
146,1610.0,200944.0,上海联泰路店,上海市宝山区联泰路63号3号楼105室106室,Community,,2,,,310100,310113,31.352205233591064,121.4358946896873,1,80,99
148,1675.0,4795.0,上海淞宝路店,上海市宝山区淞宝路748-760号,Community,,2,,,310100,310113,31.39783076157619,121.50653461700759,1,80,99
149,1676.0,4843.0,上海共和新路大润发店,上海市静安区共和新路3318号大润发三楼停车场,Community,,2,,,310100,310106,31.304473111440384,121.45414709344611,1,80,95
150,1707.0,4864.0,上海沈浦泾南路站店,上海市-金山区-朱泾镇沈浦泾南路66号,gasStation,,2,,,310100,310116,30.89237931211726,121.181812034022,1,80,99
151,1716.0,4867.0,上海乐都西路店,上海市松江区乐都路670号104、105室1层,Community,,2,,,310100,310117,31.020041011091365,121.21592449047495,1,80,93
